Date,Open,High,Low,Close,Adj Close,Volume
2020-08-20,53500.000000,53670.000000,52890.000000,53300.000000,51434.851563,884900
2020-08-21,53500.000000,54880.000000,53450.000000,54700.000000,52785.863281,1527500
2020-08-24,55370.000000,57450.000000,55220.000000,57320.000000,55314.179688,2145600
2020-08-25,57700.000000,57750.000000,55820.000000,56030.000000,54069.320313,1980000
2020-08-26,56370.000000,58220.000000,56260.000000,57530.000000,55516.832031,1896000
2020-08-27,57780.000000,57980.000000,57000.000000,57250.000000,55246.628906,1045200
2020-08-28,57250.000000,57680.000000,55860.000000,56390.000000,54416.722656,1752500
2020-08-31,57090.000000,57200.000000,56120.000000,56740.000000,54754.476563,1171100
2020-09-01,57460.000000,58620.000000,57300.000000,58590.000000,56539.738281,1774500
2020-09-02,59500.000000,59800.000000,58860.000000,59550.000000,57466.144531,1883500
2020-09-03,59600.000000,61300.000000,59200.000000,60520.000000,58402.203125,2573900
2020-09-04,59410.000000,60210.000000,58950.000000,59800.000000,57707.398438,1610100
2020-09-07,59290.000000,60150.000000,58750.000000,58950.000000,56887.140625,1157000
2020-09-08,58500.000000,58560.000000,56320.000000,57030.000000,55034.328125,1747100
2020-09-09,56090.000000,58320.000000,56000.000000,57880.000000,55854.585938,1714700
2020-09-10,59000.000000,59600.000000,58750.000000,59030.000000,56964.339844,1322000
2020-09-11,59500.000000,59590.000000,58620.000000,59230.000000,57157.339844,1115100
2020-09-14,58950.000000,59420.000000,58580.000000,59250.000000,57176.644531,641800
2020-09-15,59620.000000,59940.000000,59220.000000,59730.000000,57639.847656,878200
2020-09-16,59890.000000,59920.000000,59220.000000,59830.000000,57736.343750,757000
2020-09-17,59860.000000,59860.000000,58880.000000,58980.000000,56916.089844,952500
2020-09-18,59220.000000,59730.000000,58980.000000,59700.000000,57610.894531,883200
2020-09-23,59800.000000,60500.000000,59500.000000,60420.000000,58305.699219,1143700
2020-09-24,60000.000000,60120.000000,59090.000000,59220.000000,57147.691406,968300
2020-09-25,59000.000000,59720.000000,58900.000000,59020.000000,56954.691406,783400
2020-09-28,59760.000000,60320.000000,59440.000000,60100.000000,57996.898438,1069900
2020-09-29,60500.000000,61270.000000,60000.000000,60920.000000,59591.351563,1110800
2020-09-30,60400.000000,60640.000000,59660.000000,59660.000000,58358.828125,957400
2020-10-02,60300.000000,60700.000000,57930.000000,58200.000000,56930.671875,1344800
2020-10-05,57820.000000,57910.000000,56650.000000,56920.000000,55678.589844,1250900
2020-10-06,57730.000000,57740.000000,56720.000000,57350.000000,56099.210938,966400
2020-10-07,57620.000000,57860.000000,57350.000000,57860.000000,56598.085938,686800
2020-10-08,57870.000000,58410.000000,57610.000000,58330.000000,57057.835938,691600
2020-10-09,58200.000000,58490.000000,57830.000000,58130.000000,56862.199219,561900
2020-10-12,58380.000000,58880.000000,58240.000000,58730.000000,57449.113281,583200
2020-10-13,58980.000000,59440.000000,58730.000000,59390.000000,58094.718750,598600
2020-10-14,59500.000000,59550.000000,58930.000000,59120.000000,57830.605469,590200
2020-10-15,59050.000000,59100.000000,58100.000000,58580.000000,57302.382813,627100
2020-10-16,58260.000000,58380.000000,57630.000000,57920.000000,56656.777344,587300
2020-10-19,58100.000000,58360.000000,57760.000000,58240.000000,56969.800781,420200
2020-10-20,58000.000000,58130.000000,57140.000000,57220.000000,55972.046875,766000
2020-10-21,57200.000000,57610.000000,56200.000000,56250.000000,55023.203125,896400
2020-10-22,56010.000000,56560.000000,55790.000000,55850.000000,54631.925781,897000
2020-10-23,55030.000000,55220.000000,54150.000000,55030.000000,53829.808594,1059400
2020-10-26,54710.000000,55370.000000,54320.000000,55090.000000,53888.500000,569100
2020-10-27,55270.000000,57030.000000,55190.000000,57030.000000,55786.191406,975000
2020-10-28,57710.000000,58240.000000,56560.000000,57470.000000,56216.593750,1147700
2020-10-29,57490.000000,58100.000000,57020.000000,58100.000000,56832.851563,824000
2020-10-30,58210.000000,58210.000000,56810.000000,56980.000000,55737.281250,985100
2020-11-02,57150.000000,58180.000000,57040.000000,57590.000000,56333.976563,837100
2020-11-04,57100.000000,57390.000000,56230.000000,56680.000000,55443.824219,1293300
